# ï»¿index,business,year_founded,category_code,,,,# category_code,freq,,
0,Hamoud Boualem,1878,CAT11,,,,CAT3,148,,
1,Communaute Electrique du Benin,1968,CAT10,,,,CAT9,88,,
2,Botswana Meat Commission,1965,CAT1,,,,CAT2,76,,
3,Air Burkina,1967,CAT2,,,,CAT16,64,,
4,Brarudi,1955,CAT9,,,,CAT12,60,,
,,,,,,,,,,
"ï»¿index, business, year_founded, category_code, country_code",,,,,,# ï»¿index,business,year_founded,category_code,country_code
,,,,,,157,Casa Nacional de Moneda,1565,CAT3,PER
,,,,,,,,,,
,,,,,,# ï»¿index,business,year_founded,category_code,country_code
,,,,,,107,StaffelterÂ Hof Winery,862,CAT9,DEU
,,,,,,,,,,
,,,,,,# ï»¿index,business,year_founded,category_code,country_code
,,,,,,14,Egyptian National Railways,1854,CAT2,EGY
,,,,,,,,,,
,,,,,,# ï»¿index,business,year_founded,category_code,country_code
,,,,,,124,CTT-Correios de Portugal SA,1520,CAT16,PRT
,,,,,,,,,,
,,,,,,# ï»¿index,business,year_founded,category_code,country_code
,,,,,,106,Monnaie de ParisÂ ,864,CAT12,FRA
,,,,,,,,,,
,,,,,,,,,,
,,,,,,category_code,earliest_year,,,
,,,CAT6,19,4,,,,,
,,,CAT7,17,4,,,,,
,,,CAT7,18,4,,,,,
,,,CAT7,19,4,,,,,
,,,CAT8,19,12,,,,,
,,,CAT9,9,4,,,,,
,,,CAT9,11,4,,,,,
,,,CAT9,14,8,,,,,
,,,CAT9,16,8,,,,,
,,,CAT9,17,4,,,,,
,,,CAT9,18,12,,,,,
,,,CAT9,19,32,,,,,
,,,CAT9,20,16,,,,,
